"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Track and Field","Women's Marathon","2016-01-01",1527,3,NULL,NULL,NULL
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",1561,34,"1",NULL,NULL
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",1575,67,NULL,NULL,NULL
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",1599,189,NULL,NULL,NULL
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",1600,189,NULL,NULL,NULL
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",1682,195,NULL,NULL,"1"
"Track and Field","Women's 800 metres","2016-01-01",1696,125,NULL,NULL,NULL
"Track and Field","Women's 1,500 metres","2016-01-01",1696,125,NULL,NULL,NULL
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",1697,189,NULL,NULL,NULL
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",1721,58,NULL,NULL,NULL
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",1721,58,NULL,NULL,NULL
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",1746,16,NULL,NULL,NULL
"Track and Field","Women's 100 metres","2016-01-01",1749,16,NULL,NULL,NULL
"Track and Field","Women's 100 metres","2016-01-01",1780,137,NULL,NULL,NULL
"Track and Field","Men's 5,000 metres","2016-01-01",1787,160,NULL,NULL,NULL
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",1807,140,NULL,NULL,NULL
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",1832,194,NULL,NULL,NULL
"Track and Field","Men's Discus Throw","2016-01-01",1856,160,NULL,NULL,NULL
"Track and Field","Women's 400 metres","2016-01-01",1943,149,NULL,NULL,NULL
"Track and Field","Men's 100 metres","2016-01-01",1946,137,NULL,NULL,NULL
"Track and Field","Women's 100 metres","2016-01-01",1993,15,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",2008,149,NULL,NULL,NULL
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",2021,15,NULL,NULL,NULL
"Track and Field","Men's 5,000 metres","2016-01-01",2090,160,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",2119,194,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",2135,140,NULL,NULL,NULL
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",2169,125,NULL,NULL,NULL
"Track and Field","Men's 1,500 metres","2016-01-01",2197,194,NULL,NULL,NULL
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",2236,125,NULL,NULL,NULL
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","2016-01-01",2314,173,NULL,NULL,NULL
"Track and Field","Women's 200 metres","2016-01-01",2408,119,NULL,NULL,NULL
"Track and Field","Men's 400 metres Hurdles","2016-01-01",2467,148,NULL,NULL,NULL
"Track and Field","Women's 800 metres","2016-01-01",2537,63,NULL,NULL,NULL
"Track and Field","Women's 400 metres","2016-01-01",2574,156,NULL,NULL,NULL
"Track and Field","Women's Long Jump","2016-01-01",2604,74,NULL,NULL,NULL
"Track and Field","Men's 200 metres","2016-01-01",2663,175,NULL,NULL,NULL
"Track and Field","Men's 110 metres Hurdles","2016-01-01",2683,111,NULL,NULL,NULL
"Track and Field","Men's 400 metres","2016-01-01",2688,138,NULL,NULL,NULL
"Track and Field","Women's 100 metres Hurdles","2016-01-01",2695,195,NULL,"1",NULL
"Track and Field","Women's 5,000 metres","2016-01-01",2719,38,NULL,NULL,NULL
"Track and Field","Men's Shot Put","2016-01-01",2726,24,NULL,NULL,NULL
"Track and Field","Men's 110 metres Hurdles","2016-01-01",2775,170,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Freestyle","2016-01-01",2779,145,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Freestyle","2016-01-01",2784,13,NULL,NULL,NULL
"Track and Field","Men's 110 metres Hurdles","2016-01-01",2838,195,NULL,NULL,NULL
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",2861,93,NULL,"1",NULL
"Swimming","Swimming Men's 200 metres Breaststroke","2016-01-01",2900,62,NULL,NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",2943,57,NULL,NULL,NULL
"Track and Field","Women's 800 metres","2016-01-01",2952,50,NULL,NULL,NULL
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",2969,26,NULL,NULL,NULL
"Swimming","Swimming Men's 400 metres Individual Medley","2016-01-01",2969,26,NULL,NULL,NULL
"Swimming","Swimming Men's 200 metres Butterfly","2016-01-01",2976,26,NULL,NULL,NULL
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",3070,178,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Team All-Around","2016-01-01",3081,71,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Uneven Bars","2016-01-01",3081,71,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Balance Beam","2016-01-01",3081,71,NULL,NULL,NULL
"Track and Field","Men's Triple Jump","2016-01-01",3139,120,NULL,NULL,NULL
"Track and Field","Men's Long Jump","2016-01-01",3221,26,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Individual All-Around","2016-01-01",3267,141,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Floor Exercise","2016-01-01",3267,141,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Uneven Bars","2016-01-01",3267,141,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Balance Beam","2016-01-01",3267,141,NULL,NULL,NULL
"Track and Field","Men's 800 metres","2016-01-01",3280,63,NULL,NULL,NULL
