"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Biathlon","Biathlon Women's 7.5 kilometres Sprint","2014-01-01",115574,29,NULL,NULL,NULL
"Biathlon","Biathlon Women's 15 kilometres","2014-01-01",115574,29,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Downhill","2014-01-01",115742,12,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Super G","2014-01-01",115742,12,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Super G","2014-01-01",115772,12,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Combined","2014-01-01",115772,12,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's Sprint","2014-01-01",115821,108,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 15 kilometres","2014-01-01",115821,108,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon","2014-01-01",115821,108,NULL,NULL,NULL
"Biathlon","Biathlon Women's 7.5 kilometres Sprint","2014-01-01",115953,195,NULL,NULL,NULL
"Biathlon","Biathlon Women's 10 kilometres Pursuit","2014-01-01",115953,195,NULL,NULL,NULL
"Biathlon","Biathlon Women's 15 kilometres","2014-01-01",115953,195,NULL,NULL,NULL
