"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",134108,108,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",134108,108,NULL,NULL,NULL
"Biathlon","Biathlon Women's 7.5 kilometres Sprint","2014-01-01",134154,152,NULL,NULL,NULL
"Biathlon","Biathlon Women's 10 kilometres Pursuit","2014-01-01",134154,152,NULL,NULL,NULL
"Biathlon","Biathlon Women's 12.5 kilometres Mass Start","2014-01-01",134154,152,NULL,NULL,NULL
"Biathlon","Biathlon Women's 15 kilometres","2014-01-01",134154,152,NULL,NULL,NULL
"Biathlon","Biathlon Women's 4 x 6 kilometres Relay","2014-01-01",134154,152,NULL,"1",NULL
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres","2014-01-01",134287,71,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 30 kilometres","2014-01-01",134287,71,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon","2014-01-01",134287,71,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",134347,179,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Giant Slalom","2014-01-01",134389,12,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",134389,12,"1",NULL,NULL
"Biathlon","Biathlon Women's 7.5 kilometres Sprint","2014-01-01",134591,40,NULL,NULL,NULL
"Biathlon","Biathlon Women's 10 kilometres Pursuit","2014-01-01",134591,40,NULL,NULL,NULL
"Biathlon","Biathlon Women's 15 kilometres","2014-01-01",134591,40,NULL,NULL,NULL
"Biathlon","Biathlon Women's 4 x 6 kilometres Relay","2014-01-01",134591,40,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",134619,40,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",134619,40,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres","2014-01-01",134885,152,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 30 kilometres","2014-01-01",134885,152,NULL,NULL,NULL
